timestamp,name,clocks.current.sm [MHz],clocks.max.sm [MHz],pstate,power.draw [W],temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.free [MiB],memory.used [MiB]
2025/06/03 10:37:51.502,NVIDIA RTX A4000,210,2100,P8,13.76,44,0,0,16376,16102,6
2025/06/03 10:37:52.507,NVIDIA RTX A4000,210,2100,P8,14.49,44,0,0,16376,16102,6
2025/06/03 10:37:53.510,NVIDIA RTX A4000,210,2100,P8,14.98,44,0,0,16376,16102,6
2025/06/03 10:37:54.513,NVIDIA RTX A4000,210,2100,P8,13.76,44,0,0,16376,16102,6
2025/06/03 10:37:55.517,NVIDIA RTX A4000,210,2100,P8,15.05,44,0,0,16376,16102,6
2025/06/03 10:37:56.521,NVIDIA RTX A4000,210,2100,P8,14.67,44,0,0,16376,16102,6
2025/06/03 10:37:57.524,NVIDIA RTX A4000,210,2100,P8,13.79,44,0,0,16376,16102,6
2025/06/03 10:37:58.528,NVIDIA RTX A4000,210,2100,P8,13.66,44,0,0,16376,16100,8
2025/06/03 10:37:59.532,NVIDIA RTX A4000,210,2100,P8,14.40,44,0,0,16376,16100,8
2025/06/03 10:38:00.536,NVIDIA RTX A4000,210,2100,P8,13.82,44,0,0,16376,16100,8
2025/06/03 10:38:01.540,NVIDIA RTX A4000,210,2100,P8,13.83,44,0,0,16376,16100,8
2025/06/03 10:38:02.543,NVIDIA RTX A4000,210,2100,P8,13.90,44,0,0,16376,16100,8
2025/06/03 10:38:03.547,NVIDIA RTX A4000,1560,2100,P2,34.02,45,2,0,16376,15828,280
2025/06/03 10:38:04.549,NVIDIA RTX A4000,1560,2100,P2,34.12,45,3,0,16376,15630,478
2025/06/03 10:38:05.553,NVIDIA RTX A4000,1560,2100,P2,34.21,45,3,0,16376,15414,694
2025/06/03 10:38:06.558,NVIDIA RTX A4000,1560,2100,P2,34.45,46,2,0,16376,15224,884
2025/06/03 10:38:07.561,NVIDIA RTX A4000,1560,2100,P2,34.23,46,0,0,16376,15224,884
2025/06/03 10:38:08.564,NVIDIA RTX A4000,1560,2100,P2,34.08,46,0,0,16376,15202,906
2025/06/03 10:38:09.568,NVIDIA RTX A4000,1560,2100,P2,34.32,46,1,0,16376,14912,1196
2025/06/03 10:38:10.571,NVIDIA RTX A4000,1560,2100,P2,34.42,46,0,0,16376,14866,1242
2025/06/03 10:38:11.576,NVIDIA RTX A4000,1560,2100,P2,34.37,46,1,0,16376,14792,1316
2025/06/03 10:38:12.579,NVIDIA RTX A4000,1560,2100,P2,34.35,47,1,0,16376,14740,1368
2025/06/03 10:38:13.581,NVIDIA RTX A4000,1560,2100,P2,34.84,47,1,0,16376,14638,1470
2025/06/03 10:38:14.584,NVIDIA RTX A4000,1560,2100,P2,34.61,47,1,0,16376,14568,1540
2025/06/03 10:38:15.587,NVIDIA RTX A4000,1560,2100,P2,34.52,47,1,0,16376,14472,1636
2025/06/03 10:38:16.591,NVIDIA RTX A4000,1560,2100,P2,34.53,47,1,0,16376,14384,1724
2025/06/03 10:38:17.595,NVIDIA RTX A4000,1560,2100,P2,34.75,47,1,0,16376,14286,1822
2025/06/03 10:38:18.597,NVIDIA RTX A4000,1560,2100,P2,34.70,48,1,0,16376,13862,2246
2025/06/03 10:38:19.601,NVIDIA RTX A4000,1560,2100,P2,49.30,49,17,12,16376,13810,2298
2025/06/03 10:38:20.604,NVIDIA RTX A4000,1560,2100,P2,49.38,49,17,12,16376,13810,2298
2025/06/03 10:38:21.607,NVIDIA RTX A4000,1560,2100,P2,49.85,49,17,12,16376,13810,2298
2025/06/03 10:38:22.614,NVIDIA RTX A4000,1560,2100,P2,48.19,49,19,13,16376,13810,2298
2025/06/03 10:38:23.618,NVIDIA RTX A4000,1560,2100,P2,50.23,50,17,12,16376,13810,2298
2025/06/03 10:38:24.621,NVIDIA RTX A4000,1560,2100,P2,49.69,50,17,12,16376,13810,2298
2025/06/03 10:38:25.624,NVIDIA RTX A4000,1560,2100,P2,51.83,51,24,17,16376,13810,2298
2025/06/03 10:38:26.627,NVIDIA RTX A4000,1560,2100,P2,50.03,51,18,12,16376,13810,2298
2025/06/03 10:38:27.632,NVIDIA RTX A4000,1560,2100,P2,51.75,51,18,12,16376,13810,2298
2025/06/03 10:38:28.635,NVIDIA RTX A4000,1560,2100,P2,55.35,51,17,12,16376,13810,2298
2025/06/03 10:38:29.638,NVIDIA RTX A4000,1560,2100,P2,50.07,51,15,10,16376,13810,2298
2025/06/03 10:38:30.641,NVIDIA RTX A4000,1560,2100,P2,56.99,52,21,15,16376,13810,2298
2025/06/03 10:38:31.644,NVIDIA RTX A4000,1560,2100,P2,50.40,52,17,12,16376,13810,2298
2025/06/03 10:38:32.651,NVIDIA RTX A4000,1560,2100,P2,56.56,52,22,15,16376,13810,2298
2025/06/03 10:38:33.654,NVIDIA RTX A4000,1560,2100,P2,50.47,52,11,7,16376,13810,2298
2025/06/03 10:38:34.659,NVIDIA RTX A4000,1560,2100,P2,54.06,53,23,16,16376,13810,2298
2025/06/03 10:38:35.662,NVIDIA RTX A4000,1560,2100,P2,53.45,53,20,14,16376,13810,2298
2025/06/03 10:38:36.669,NVIDIA RTX A4000,1560,2100,P2,53.33,53,21,15,16376,13810,2298
2025/06/03 10:38:37.672,NVIDIA RTX A4000,1560,2100,P2,50.72,53,14,10,16376,13810,2298
2025/06/03 10:38:38.675,NVIDIA RTX A4000,1560,2100,P2,57.35,54,22,16,16376,13810,2298
2025/06/03 10:38:39.678,NVIDIA RTX A4000,1560,2100,P2,58.63,54,23,17,16376,13810,2298
2025/06/03 10:38:40.681,NVIDIA RTX A4000,1560,2100,P2,51.18,54,17,12,16376,13810,2298
2025/06/03 10:38:41.688,NVIDIA RTX A4000,1560,2100,P2,54.44,54,21,15,16376,13810,2298
2025/06/03 10:38:42.690,NVIDIA RTX A4000,1560,2100,P2,50.21,54,17,12,16376,13810,2298
2025/06/03 10:38:43.693,NVIDIA RTX A4000,1560,2100,P2,50.29,54,16,11,16376,13810,2298
2025/06/03 10:38:44.696,NVIDIA RTX A4000,1560,2100,P2,52.87,55,19,14,16376,13810,2298
2025/06/03 10:38:45.699,NVIDIA RTX A4000,1560,2100,P2,40.37,55,12,9,16376,13810,2298
2025/06/03 10:38:46.707,NVIDIA RTX A4000,1560,2100,P2,51.47,55,18,13,16376,13810,2298
2025/06/03 10:38:47.709,NVIDIA RTX A4000,1560,2100,P2,58.67,55,24,17,16376,13810,2298
2025/06/03 10:38:48.712,NVIDIA RTX A4000,1560,2100,P2,53.73,55,23,16,16376,13810,2298
2025/06/03 10:38:49.716,NVIDIA RTX A4000,1560,2100,P2,59.37,56,23,16,16376,13810,2298
2025/06/03 10:38:50.719,NVIDIA RTX A4000,1560,2100,P2,51.53,56,19,13,16376,13810,2298
2025/06/03 10:38:51.724,NVIDIA RTX A4000,1560,2100,P2,51.12,56,19,13,16376,13810,2298
2025/06/03 10:38:52.729,NVIDIA RTX A4000,1560,2100,P2,50.65,56,18,12,16376,13810,2298
2025/06/03 10:38:53.732,NVIDIA RTX A4000,1560,2100,P2,56.71,56,22,15,16376,13810,2298
2025/06/03 10:38:54.735,NVIDIA RTX A4000,1560,2100,P2,51.95,57,19,13,16376,13810,2298
2025/06/03 10:38:55.738,NVIDIA RTX A4000,1560,2100,P2,59.11,57,21,15,16376,13810,2298
2025/06/03 10:38:56.743,NVIDIA RTX A4000,1560,2100,P2,50.81,57,20,14,16376,13810,2298
2025/06/03 10:38:57.746,NVIDIA RTX A4000,1560,2100,P2,54.80,57,23,16,16376,13810,2298
2025/06/03 10:38:58.749,NVIDIA RTX A4000,1560,2100,P2,51.92,57,21,14,16376,13810,2298
2025/06/03 10:38:59.752,NVIDIA RTX A4000,1560,2100,P2,55.05,57,18,13,16376,13810,2298
2025/06/03 10:39:00.756,NVIDIA RTX A4000,1560,2100,P2,51.09,57,19,13,16376,13810,2298
2025/06/03 10:39:01.762,NVIDIA RTX A4000,1560,2100,P2,49.98,58,17,12,16376,13810,2298
2025/06/03 10:39:02.765,NVIDIA RTX A4000,1560,2100,P2,51.17,57,19,13,16376,13810,2298
2025/06/03 10:39:03.768,NVIDIA RTX A4000,1560,2100,P2,51.10,58,18,12,16376,13810,2298
2025/06/03 10:39:04.772,NVIDIA RTX A4000,1560,2100,P0,38.11,57,21,2,16376,16102,6
2025/06/03 10:39:05.775,NVIDIA RTX A4000,1560,2100,P0,36.74,57,0,0,16376,14098,2010
2025/06/03 10:39:06.779,NVIDIA RTX A4000,1560,2100,P0,38.11,57,21,2,16376,16102,6
2025/06/03 10:39:07.782,NVIDIA RTX A4000,705,2100,P5,30.17,57,0,0,16376,16102,6
2025/06/03 10:39:08.785,NVIDIA RTX A4000,450,2100,P5,17.64,56,0,0,16376,16102,6
2025/06/03 10:39:09.788,NVIDIA RTX A4000,285,2100,P8,15.59,56,0,0,16376,16102,6
2025/06/03 10:39:10.792,NVIDIA RTX A4000,210,2100,P8,15.55,56,0,0,16376,16102,6
2025/06/03 10:39:11.796,NVIDIA RTX A4000,210,2100,P8,15.36,55,0,0,16376,16102,6
2025/06/03 10:39:12.799,NVIDIA RTX A4000,210,2100,P8,15.38,55,0,0,16376,16102,6
2025/06/03 10:39:13.802,NVIDIA RTX A4000,210,2100,P8,15.30,55,0,0,16376,16102,6
2025/06/03 10:39:14.805,NVIDIA RTX A4000,210,2100,P8,15.43,55,0,0,16376,16102,6
2025/06/03 10:39:15.809,NVIDIA RTX A4000,210,2100,P8,15.50,55,0,0,16376,16102,6
2025/06/03 10:39:16.812,NVIDIA RTX A4000,210,2100,P8,15.49,55,0,0,16376,16102,6
2025/06/03 10:39:17.816,NVIDIA RTX A4000,210,2100,P8,15.47,55,0,0,16376,16102,6